"filename", "language", "Markdown", "Ruby", "Python", "Shell Script", "comment", "blank", "total"
"e:\dev\github\video_loom\README.md", "Markdown", 83, 0, 0, 0, 0, 36, 119
"e:\dev\github\video_loom\changelog.md", "Markdown", 36, 0, 0, 0, 0, 25, 61
"e:\dev\github\video_loom\src\app.macos.spec", "Ruby", 0, 44, 0, 0, 1, 6, 51
"e:\dev\github\video_loom\src\app.py", "Python", 0, 0, 71, 0, 10, 14, 95
"e:\dev\github\video_loom\src\app.win32.spec", "Ruby", 0, 34, 0, 0, 1, 6, 41
"e:\dev\github\video_loom\src\audio_setting_frame.py", "Python", 0, 0, 29, 0, 2, 8, 39
"e:\dev\github\video_loom\src\bundle.sh", "Shell Script", 0, 0, 0, 5, 4, 4, 13
"e:\dev\github\video_loom\src\file_utils.py", "Python", 0, 0, 15, 0, 0, 5, 20
"e:\dev\github\video_loom\src\reference\ffmpeg.py", "Python", 0, 0, 0, 0, 12, 1, 13
"e:\dev\github\video_loom\src\reference\moviepy.py", "Python", 0, 0, 0, 0, 42, 2, 44
"e:\dev\github\video_loom\src\sandbox\app_logging.py", "Python", 0, 0, 16, 0, 2, 7, 25
"e:\dev\github\video_loom\src\sandbox\sandbox_filepath.py", "Python", 0, 0, 3, 0, 0, 2, 5
"e:\dev\github\video_loom\src\sandbox\sandbox_macos.py", "Python", 0, 0, 42, 0, 10, 13, 65
"e:\dev\github\video_loom\src\sandbox\sandbox_win32.py", "Python", 0, 0, 21, 0, 4, 7, 32
"e:\dev\github\video_loom\src\status_frame.py", "Python", 0, 0, 18, 0, 3, 9, 30
"e:\dev\github\video_loom\src\test_file_utils.py", "Python", 0, 0, 4, 0, 0, 3, 7
"e:\dev\github\video_loom\src\test_time_utils.py", "Python", 0, 0, 10, 0, 0, 5, 15
"e:\dev\github\video_loom\src\test_timeline_utils.py", "Python", 0, 0, 23, 0, 3, 8, 34
"e:\dev\github\video_loom\src\time_utils.py", "Python", 0, 0, 8, 0, 0, 5, 13
"e:\dev\github\video_loom\src\timeline_frame.py", "Python", 0, 0, 34, 0, 6, 11, 51
"e:\dev\github\video_loom\src\timeline_utils.py", "Python", 0, 0, 30, 0, 0, 10, 40
"e:\dev\github\video_loom\src\toolbar_frame.py", "Python", 0, 0, 22, 0, 2, 9, 33
"e:\dev\github\video_loom\src\video_frame.py", "Python", 0, 0, 142, 0, 23, 37, 202
"e:\dev\github\video_loom\src\video_import_frame.py", "Python", 0, 0, 54, 0, 1, 12, 67
"e:\dev\github\video_loom\src\video_renderer_frame.py", "Python", 0, 0, 30, 0, 3, 7, 40
"e:\dev\github\video_loom\src\video_select_frame.py", "Python", 0, 0, 66, 0, 4, 18, 88
"e:\dev\github\video_loom\src\windows.py", "Python", 0, 0, 6, 0, 0, 1, 7
"Total", "-", 119, 78, 644, 5, 133, 271, 1250
