"filename", "language", "JSON", "Markdown", "Ruby", "Shell Script", "Python", "comment", "blank", "total"
"e:\dev\github\video_loom\.prettierrc", "JSON", 9, 0, 0, 0, 0, 0, 0, 9
"e:\dev\github\video_loom\README.md", "Markdown", 0, 90, 0, 0, 0, 0, 40, 130
"e:\dev\github\video_loom\changelog.md", "Markdown", 0, 56, 0, 0, 0, 0, 41, 97
"e:\dev\github\video_loom\src\app.macos.spec", "Ruby", 0, 0, 47, 0, 0, 1, 6, 54
"e:\dev\github\video_loom\src\app.py", "Python", 0, 0, 0, 0, 85, 12, 16, 113
"e:\dev\github\video_loom\src\app.win32.spec", "Ruby", 0, 0, 39, 0, 0, 1, 6, 46
"e:\dev\github\video_loom\src\audio_setting_frame.py", "Python", 0, 0, 0, 0, 73, 6, 20, 99
"e:\dev\github\video_loom\src\audio_utils.py", "Python", 0, 0, 0, 0, 17, 2, 7, 26
"e:\dev\github\video_loom\src\bundle.sh", "Shell Script", 0, 0, 0, 5, 0, 4, 4, 13
"e:\dev\github\video_loom\src\file_utils.py", "Python", 0, 0, 0, 0, 43, 2, 12, 57
"e:\dev\github\video_loom\src\sandbox\sandbox_app_logging.py", "Python", 0, 0, 0, 0, 16, 2, 7, 25
"e:\dev\github\video_loom\src\sandbox\sandbox_filepath.py", "Python", 0, 0, 0, 0, 15, 2, 7, 24
"e:\dev\github\video_loom\src\sandbox\sandbox_macos.py", "Python", 0, 0, 0, 0, 42, 10, 13, 65
"e:\dev\github\video_loom\src\sandbox\sandbox_markdown.py", "Python", 0, 0, 0, 0, 7, 0, 4, 11
"e:\dev\github\video_loom\src\sandbox\sandbox_win32.py", "Python", 0, 0, 0, 0, 21, 4, 7, 32
"e:\dev\github\video_loom\src\settings_frame.py", "Python", 0, 0, 0, 0, 21, 4, 7, 32
"e:\dev\github\video_loom\src\status_frame.py", "Python", 0, 0, 0, 0, 18, 3, 9, 30
"e:\dev\github\video_loom\src\sys_utils.py", "Python", 0, 0, 0, 0, 17, 2, 6, 25
"e:\dev\github\video_loom\src\test_audio_utils.py", "Python", 0, 0, 0, 0, 32, 1, 15, 48
"e:\dev\github\video_loom\src\test_file_utils.py", "Python", 0, 0, 0, 0, 8, 0, 5, 13
"e:\dev\github\video_loom\src\test_sys_utils.py", "Python", 0, 0, 0, 0, 3, 0, 3, 6
"e:\dev\github\video_loom\src\test_time_utils.py", "Python", 0, 0, 0, 0, 8, 0, 5, 13
"e:\dev\github\video_loom\src\test_timeline_utils.py", "Python", 0, 0, 0, 0, 52, 3, 16, 71
"e:\dev\github\video_loom\src\time_utils.py", "Python", 0, 0, 0, 0, 10, 0, 5, 15
"e:\dev\github\video_loom\src\timeline_frame.py", "Python", 0, 0, 0, 0, 22, 3, 9, 34
"e:\dev\github\video_loom\src\timeline_utils.py", "Python", 0, 0, 0, 0, 35, 0, 11, 46
"e:\dev\github\video_loom\src\toolbar_frame.py", "Python", 0, 0, 0, 0, 22, 2, 9, 33
"e:\dev\github\video_loom\src\video_control_frame.py", "Python", 0, 0, 0, 0, 67, 5, 19, 91
"e:\dev\github\video_loom\src\video_frame.py", "Python", 0, 0, 0, 0, 148, 24, 38, 210
"e:\dev\github\video_loom\src\video_import_frame.py", "Python", 0, 0, 0, 0, 54, 1, 12, 67
"e:\dev\github\video_loom\src\video_renderer_frame.py", "Python", 0, 0, 0, 0, 66, 8, 13, 87
"e:\dev\github\video_loom\src\video_setting_frame.py", "Python", 0, 0, 0, 0, 25, 2, 9, 36
"e:\dev\github\video_loom\src\windows.py", "Python", 0, 0, 0, 0, 6, 0, 1, 7
"Total", "-", 9, 146, 86, 5, 933, 104, 382, 1665
