"filename", "language", "Markdown", "Ruby", "Python", "JSON with Comments", "YAML", "comment", "blank", "total"
"e:\dev\github\video_loom\.github\workflows\pytest.yml", "YAML", 0, 0, 0, 0, 27, 2, 5, 34
"e:\dev\github\video_loom\.vscode_config\settings.json", "JSON with Comments", 0, 0, 0, 10, 0, 123, 0, 133
"e:\dev\github\video_loom\README.md", "Markdown", 8, 0, 0, 0, 0, 0, 3, 11
"e:\dev\github\video_loom\changelog.md", "Markdown", 27, 0, 0, 0, 0, 0, 14, 41
"e:\dev\github\video_loom\src\app.py", "Python", 0, 0, -2, 0, 0, 0, 1, -1
"e:\dev\github\video_loom\src\app.win32.spec", "Ruby", 0, 1, 0, 0, 0, 0, 0, 1
"e:\dev\github\video_loom\src\audio_setting_frame.py", "Python", 0, 0, 5, 0, 0, 1, 1, 7
"e:\dev\github\video_loom\src\audio_utils.py", "Python", 0, 0, 6, 0, 0, 0, 0, 6
"e:\dev\github\video_loom\src\menu_frame.py", "Python", 0, 0, 140, 0, 0, 12, 29, 181
"e:\dev\github\video_loom\src\test_timeline_utils.py", "Python", 0, 0, 35, 0, 0, 0, 7, 42
"e:\dev\github\video_loom\src\test_video_utils.py", "Python", 0, 0, 9, 0, 0, 0, 3, 12
"e:\dev\github\video_loom\src\timeline_utils.py", "Python", 0, 0, 49, 0, 0, 0, 9, 58
"e:\dev\github\video_loom\src\video_control_frame.py", "Python", 0, 0, 41, 0, 0, 0, -3, 38
"e:\dev\github\video_loom\src\video_frame.py", "Python", 0, 0, 50, 0, 0, 1, 2, 53
"e:\dev\github\video_loom\src\video_import_frame.py", "Python", 0, 0, 58, 0, 0, 1, 12, 71
"e:\dev\github\video_loom\src\video_renderer_frame.py", "Python", 0, 0, 18, 0, 0, 0, 1, 19
"e:\dev\github\video_loom\src\video_utils.py", "Python", 0, 0, 21, 0, 0, 8, 2, 31
"Total", "-", 35, 1, 430, 10, 27, 148, 86, 737
